iter	Passed	Remaining
0	52	52650
1	57	28597
2	62	20760
3	66	16444
4	68	13727
5	71	11822
6	73	10438
7	75	9347
8	77	8503
9	79	7837
10	80	7253
11	82	6760
12	84	6391
13	85	6016
14	86	5690
15	87	5404
16	89	5147
17	90	4916
18	91	4706
19	92	4518
20	93	4349
21	94	4190
22	95	4072
23	97	3964
24	98	3858
25	99	3732
26	100	3616
27	101	3507
28	101	3406
29	102	3312
30	103	3223
31	103	3140
32	104	3066
33	105	2992
34	106	2927
35	106	2862
36	107	2799
37	108	2751
38	109	2697
39	110	2646
40	110	2594
41	111	2544
42	112	2499
43	114	2484
44	115	2442
45	115	2402
46	116	2363
47	117	2326
48	118	2291
49	118	2259
50	119	2227
51	120	2195
52	121	2165
53	121	2135
54	122	2107
55	123	2081
56	124	2060
57	125	2036
58	126	2013
59	127	1990
60	127	1967
61	128	1945
62	129	1923
63	130	1901
64	130	1879
65	131	1858
66	131	1837
67	132	1817
68	133	1797
69	133	1778
70	134	1759
71	135	1741
72	135	1724
73	136	1706
74	137	1690
75	137	1674
76	138	1658
77	138	1642
78	139	1628
79	140	1617
80	141	1604
81	142	1592
82	142	1578
83	143	1565
84	144	1557
85	145	1546
86	146	1534
87	146	1521
88	147	1510
89	148	1498
90	148	1486
91	149	1475
92	150	1464
93	150	1453
94	151	1442
95	152	1431
96	152	1421
97	153	1411
98	154	1401
99	154	1391
100	155	1382
101	157	1383
102	158	1380
103	160	1380
104	161	1379
105	163	1375
106	164	1373
107	165	1364
108	165	1356
109	166	1347
110	167	1339
111	167	1330
112	168	1323
113	169	1315
114	169	1307
115	170	1299
116	171	1291
117	171	1283
118	172	1278
119	173	1271
120	174	1265
121	174	1259
122	175	1252
123	177	1250
124	177	1244
125	179	1245
126	180	1240
127	181	1234
128	181	1228
129	182	1222
130	183	1216
131	184	1211
132	184	1205
133	185	1200
134	186	1194
135	187	1189
136	187	1183
137	188	1178
138	189	1173
139	190	1168
140	190	1163
141	191	1158
142	193	1157
143	194	1156
144	195	1153
145	196	1147
146	196	1142
147	197	1136
148	198	1131
149	198	1126
150	199	1121
151	200	1116
152	200	1111
153	201	1106
154	202	1101
155	202	1096
156	203	1091
157	203	1086
158	204	1082
159	205	1078
160	206	1073
161	206	1069
162	207	1065
163	208	1061
164	208	1057
165	209	1054
166	210	1050
167	211	1045
168	211	1041
169	212	1038
170	213	1034
171	213	1029
172	214	1025
173	215	1021
174	215	1017
175	216	1013
176	217	1009
177	217	1005
178	218	1001
179	218	997
180	219	993
181	220	989
182	220	986
183	221	982
184	222	979
185	222	975
186	223	972
187	224	969
188	225	966
189	226	965
190	227	962
191	227	958
192	228	955
193	229	952
194	229	948
195	230	945
196	231	942
197	231	938
198	232	935
199	233	932
200	233	928
201	234	925
202	234	922
203	235	919
204	236	915
205	236	912
206	237	910
207	238	908
208	239	905
209	239	902
210	240	899
211	241	897
212	242	894
213	242	892
214	243	889
